based on onionoo data from 2015-06-03 20:00:00

likely false positives (see timeing+AS+old list):
- siccam
- Cannabinoid420
- 467A957A5923616A92B63E69030C547F1C546370
- DF6D49F7FF2327B8383B07521CDDF3DF12B5638D
- 9D5BA8ACB8EDFD41F82351B563738CC4DE354A52
- Hackosaurusrex
- 6C405EC95C51E1D796392AAE29CF35B9E9B3468F

+---------------------+---------------------+------+------+---------------------------+------+-------------------------------------+--------------------+------------------------------------------+---------------------+
| first_seen          | last_restarted      | orp  | dirp | platform                  | cc   | as_name                             | nickname           | fingerprint                              | flags               |
| 2015-06-03 19:00:00 | 2015-06-03 18:36:26 | 9008 | 9037 | Tor 0.2.4.27 on Linux     | us   | SoftLayer Technologies Inc.         | FuzzyPharoah       | 362B6F0A0C22A6FDE4222FE73E9C3CE8F8E1B10B | Running V2Dir Valid |
| 2015-06-03 19:00:00 | 2015-06-03 18:36:26 | 9005 | 9034 | Tor 0.2.4.27 on Linux     | us   | SoftLayer Technologies Inc.         | GapingIntrusion    | 2DBC855E054C852E6CD6CF69C94BD2FF07A639E5 | Running V2Dir Valid |
| 2015-06-03 19:00:00 | 2015-06-03 18:36:27 | 9003 | 9032 | Tor 0.2.4.27 on Linux     | us   | SoftLayer Technologies Inc.         | OnionOfIncision    | D377EF2D27BFD9F779B23A9CF90C44223AAA8A54 | Running V2Dir Valid |
| 2015-06-03 19:00:00 | 2015-06-03 18:36:27 | 9004 | 9033 | Tor 0.2.4.27 on Linux     | us   | SoftLayer Technologies Inc.         | HackerOfPhysics    | 842B9A2C9344B6669B386D2E98F7ED8000A14A68 | Running V2Dir Valid |
| 2015-06-03 19:00:00 | 2015-06-03 18:36:27 | 9001 | 9030 | Tor 0.2.4.27 on Linux     | us   | SoftLayer Technologies Inc.         | ChromeAutopsy      | F141B9C3B13B10D5B11C26DFAABAB37EB3942806 | Running V2Dir Valid |
| 2015-06-03 19:00:00 | 2015-06-03 18:37:01 | 9001 | 9030 | Tor 0.2.4.20 on Linux     | de   | Individual Network Berlin e.V.      | Unnamed            | 9D5BA8ACB8EDFD41F82351B563738CC4DE354A52 | Running V2Dir Valid |
| 2015-06-03 19:00:00 | 2015-06-03 18:37:32 | 9005 | 9034 | Tor 0.2.4.27 on Linux     | us   | Global Net Access, LLC              | PlethoraTor        | 136A3E53323F7C3A06E50906DF69E874CAE3BC2F | Running V2Dir Valid |
| 2015-06-03 19:00:00 | 2015-06-03 18:37:33 | 9006 | 9035 | Tor 0.2.4.27 on Linux     | us   | Global Net Access, LLC              | LoadedDetermined   | C5DDBFB492E178E5D5769EF13308B1C0219D4D53 | Running V2Dir Valid |
| 2015-06-03 19:00:00 | 2015-06-03 18:37:33 | 9004 | 9033 | Tor 0.2.4.27 on Linux     | us   | Global Net Access, LLC              | TorOfTheFreedom    | E4760893D12FF428EE24099F4C51D60BE82FE138 | Running V2Dir Valid |
| 2015-06-03 19:00:00 | 2015-06-03 18:37:33 | 9001 | 9030 | Tor 0.2.4.27 on Linux     | us   | Global Net Access, LLC              | TORtastic          | 0AD68A8CC3B61A0A71244974C2E7C79CE399D3BC | Running V2Dir Valid |
| 2015-06-03 19:00:00 | 2015-06-03 18:37:33 | 9007 | 9036 | Tor 0.2.4.27 on Linux     | us   | Global Net Access, LLC              | RelayOfTheMagic    | 5F080EADE337945FF1CDB08B7F977E6A40028753 | Running V2Dir Valid |
| 2015-06-03 19:00:00 | 2015-06-03 18:37:33 | 9002 | 9031 | Tor 0.2.4.27 on Linux     | us   | Global Net Access, LLC              | AtlantaTORJunction | F79FD8EB7C066797C16CDBFB5786504B985A7FBF | Running V2Dir Valid |
| 2015-06-03 19:00:00 | 2015-06-03 18:37:33 | 9009 | 9038 | Tor 0.2.4.27 on Linux     | us   | Global Net Access, LLC              | RelayUprising      | FA44D2BCC32D5F898A04C3E01EC222072E5A3CFE | Running V2Dir Valid |
| 2015-06-03 19:00:00 | 2015-06-03 18:37:33 | 9003 | 9032 | Tor 0.2.4.27 on Linux     | us   | Global Net Access, LLC              | TorScorpion        | 79A8D4FBFD51F8C8BA70ABE19EA70223EFBB0ABD | Running V2Dir Valid |
| 2015-06-03 19:00:00 | 2015-06-03 18:39:22 | 9006 | 9035 | Tor 0.2.4.27 on Linux     | gb   | TELECITYGROUP INTERNATIONAL LIMITED | DelicateJacket     | 45544D0C400F3A6B916767A02D140A12CD908EA1 | Running V2Dir Valid |
| 2015-06-03 19:00:00 | 2015-06-03 18:39:22 | 9010 | 9039 | Tor 0.2.4.27 on Linux     | gb   | TELECITYGROUP INTERNATIONAL LIMITED | HealthyNevada      | CB4C252ECE7E086C857A933F2BA5012F079BE418 | Running V2Dir Valid |
| 2015-06-03 19:00:00 | 2015-06-03 18:39:22 | 9009 | 9038 | Tor 0.2.4.27 on Linux     | gb   | TELECITYGROUP INTERNATIONAL LIMITED | BionicNavel        | E991B4E4F5D0B7EF81FFD27DF8182885D865D35E | Running V2Dir Valid |
| 2015-06-03 19:00:00 | 2015-06-03 18:39:22 | 9005 | 9034 | Tor 0.2.4.27 on Linux     | gb   | TELECITYGROUP INTERNATIONAL LIMITED | GogglesSausage     | 349449C996207BD96AAC4C86A98F6CC28FB2D147 | Running V2Dir Valid |
| 2015-06-03 19:00:00 | 2015-06-03 18:39:23 | 9008 | 9037 | Tor 0.2.4.27 on Linux     | gb   | TELECITYGROUP INTERNATIONAL LIMITED | WantedLube         | 38E9356E733F07359E7DAF1D6FDF9AD7C7E195CD | Running V2Dir Valid |
| 2015-06-03 19:00:00 | 2015-06-03 18:47:06 | 9001 | NULL | Tor 0.2.5.12 on Linux     | de   | STRATO AG                           | Hackosaurusrex     | 09A880567B0839B4085C2EC14002DE34AAFE8548 | Running Valid       |
| 2015-06-03 19:00:00 | 2015-06-03 19:20:40 | 9001 | NULL | Tor 0.2.5.12 on Linux     | ru   | OJSC Vimpelcom                      | Unnamed            | 6C405EC95C51E1D796392AAE29CF35B9E9B3468F | Running Valid       |
+---------------------+---------------------+------+------+---------------------------+------+-------------------------------------+--------------------+------------------------------------------+---------------------+
