+---------------------+---------+----------+-------------+---------+----------+-----------------------+-----------------+------------------------------------------+
| first_seen          | contact | nickname | tor_version | or_port | dir_port | as_name               | IP              | fingerprint                              |
| 2020-05-20 19:00:00 | NULL    | Unnamed  | 0.4.3.5     |     443 |        0 | Linode, LLC           | 172.105.35.145  | 2251E87A6CC2D9FF43068EF7B7413F63D0044D81 |
| 2020-05-20 19:00:00 | NULL    | Unnamed  | 0.4.3.5     |     443 |        0 | Linode, LLC           | 172.105.103.105 | B939A8A614869CDFB240F5EFB78BA3753B50E973 |
| 2020-05-20 20:00:00 | NULL    | Unnamed  | 0.4.3.5     |     443 |        0 | NULL                  | 172.105.185.86  | 1F95CAA33D9FC3441F3E0FF56E29D5761DB76DD7 |
| 2020-05-20 21:00:00 | NULL    | Unnamed  | 0.4.3.5     |     443 |        0 | Linode, LLC           | 173.230.136.134 | 2A2D0831DE1A7209C36BF405B1914F6954A5E100 |
| 2020-05-20 21:00:00 | NULL    | Unnamed  | 0.4.3.5     |     443 |        0 | Linode, LLC           | 50.116.2.233    | 528BAECE8CB9151346BDD80F6A95556D6C12ABF0 |
| 2020-05-20 22:00:00 | NULL    | Unnamed  | 0.4.3.5     |     443 |        0 | Linode, LLC           | 172.104.179.220 | 4D0F97107D9949C20C9885F7CC10A883D146786D |
| 2020-05-20 23:00:00 | NULL    | Unnamed  | 0.4.3.5     |     443 |        0 | Linode, LLC           | 172.104.95.82   | 92F8962A69B523C9DF1E9D71AD6871E4EF8B6B2A |
| 2020-05-21 19:00:00 | NULL    | Unnamed  | 0.4.3.5     |     443 |        0 | Linode, LLC           | 45.79.124.208   | 094FDE9DCED7994406A8AE81F212BC8A89ADEAD8 |
| 2020-05-21 19:00:00 | NULL    | Unnamed  | 0.4.3.5     |     443 |        0 | Linode, LLC           | 172.105.103.145 | A66E9F0E5646A16379D716431388EB64661D10D5 |
| 2020-05-21 20:00:00 | NULL    | Unnamed  | 0.4.3.5     |     443 |        0 | Linode, LLC           | 198.74.51.121   | 0BD524A66A928A093AD1ADD79AD24C5DA6D805CE |
| 2020-05-21 20:00:00 | NULL    | Unnamed  | 0.4.3.5     |     443 |        0 | Linode, LLC           | 45.79.39.156    | F6FA13D4B4087BA25D1E01EB46176A79E39425E5 |
| 2020-05-21 20:00:00 | NULL    | Unnamed  | 0.4.3.5     |     443 |        0 | NULL                  | 172.105.186.108 | FF677B5D81A13788932503F52667E4CDD575FFE6 |
| 2020-05-21 21:00:00 | NULL    | Unnamed  | 0.4.3.5     |     443 |        0 | Linode, LLC           | 74.207.230.142  | A200D847B1C818F93AF3243B3D5DDA6FE0F6D871 |
| 2020-05-21 21:00:00 | NULL    | Unnamed  | 0.4.3.5     |     443 |        0 | Linode, LLC           | 172.104.4.241   | A29413FC01DCFB3F97F5EC01E6DD628D2126B241 |
| 2020-05-21 22:00:00 | NULL    | Unnamed  | 0.4.3.5     |     443 |        0 | Linode, LLC           | 139.162.3.108   | 05E5161EE9E4A64977A2FEFE8AC166941F0646C6 |
| 2020-05-21 22:00:00 | NULL    | Unnamed  | 0.4.3.5     |     443 |        0 | Linode, LLC           | 172.104.109.47  | A320D06B475E983DE7B2FB0A4799E04F6E5F953D |
