+---------------------+---------------------+------+------+-----------------------+---------------------------------------------+---------------------+-----------------------+------------------------------------------+
| first_seen          | last_restarted      | orp  | dirp | platform              | as_name                                     | nickname            | primary_ip            | fingerprint                              |
| 2015-06-03 00:00:00 | 2015-06-02 23:08:21 | 9004 | 9033 | Tor 0.2.4.27 on Linux | SoftLayer Technologies Inc.                 | SecureExorcism      | 104.237.128.84        | 2F49A0276AFD119543D21CAF7BC2348C93D5AD66 |
| 2015-06-03 00:00:00 | 2015-06-02 23:08:21 | 9001 | 9030 | Tor 0.2.4.27 on Linux | SoftLayer Technologies Inc.                 | blahrelayblah       | 23.239.29.65          | F1E43EC217A4977CB6EFC735E7896A1F7B35050B |
| 2015-06-03 00:00:00 | 2015-06-02 23:08:21 | 9003 | 9032 | Tor 0.2.4.27 on Linux | SoftLayer Technologies Inc.                 | RelayMonastery      | 104.237.128.84        | 9A1FC84F649859D80E6165C2E70B6A01AC5E699E |
| 2015-06-03 00:00:00 | 2015-06-02 23:08:21 | 9006 | 9035 | Tor 0.2.4.27 on Linux | SoftLayer Technologies Inc.                 | ClassroomRealm      | 104.237.129.78        | BCBAE937DC60F51E1F563580DA73536AA8E93725 |
| 2015-06-03 00:00:00 | 2015-06-02 23:08:21 | 9009 | 9038 | Tor 0.2.4.27 on Linux | SoftLayer Technologies Inc.                 | RepublicanCrib      | 104.237.134.102       | 71D4C73A135DA2E0A0EA64FBBFB5B9C16FAD3CF1 |
| 2015-06-03 19:00:00 | 2015-06-03 18:34:15 | 9003 | 9032 | Tor 0.2.4.27 on Linux | SoftLayer Technologies Inc.                 | FairSharp           | 198.58.109.82         | DD06FF26F9FA3FB4733DAC253E66D116137BCCEF |
| 2015-06-03 19:00:00 | 2015-06-03 18:34:15 | 9008 | 9037 | Tor 0.2.4.27 on Linux | SoftLayer Technologies Inc.                 | CrapMage            | 104.237.129.52        | E202901A52312E426B5F5BD0E1B2280E248D18A8 |
| 2015-06-03 19:00:00 | 2015-06-03 18:34:15 | 9006 | 9035 | Tor 0.2.4.27 on Linux | SoftLayer Technologies Inc.                 | UndefeatedAlloy     | 104.200.18.182        | 9D8E9B4F3958D24EFE9EA57FAC37EE4A88FDB929 |
| 2015-06-03 19:00:00 | 2015-06-03 18:34:15 | 9001 | 9030 | Tor 0.2.4.27 on Linux | SoftLayer Technologies Inc.                 | GarlicPriest        | 198.58.103.147        | 2B270401D63984CC7D59F07E706D6BFB9E9189A3 |
| 2015-06-03 19:00:00 | 2015-06-03 18:34:15 | 9007 | 9036 | Tor 0.2.4.27 on Linux | SoftLayer Technologies Inc.                 | DidacticTerrorism   | 104.237.129.52        | 45EC4311436B17A4CE4505872D274863FD4DF0BC |
| 2015-06-03 19:00:00 | 2015-06-03 18:34:15 | 9005 | 9034 | Tor 0.2.4.27 on Linux | SoftLayer Technologies Inc.                 | CinematicPlunger    | 104.200.18.182        | 44263033E7947F30F53EDCCE0EF59B79A2209160 |
| 2015-06-03 19:00:00 | 2015-06-03 18:34:15 | 9009 | 9038 | Tor 0.2.4.27 on Linux | SoftLayer Technologies Inc.                 | NebulaScript        | 104.237.131.75        | 570F6912FBC76F8196E6B1DCA09E9A9DC9C2115F |
| 2015-06-03 19:00:00 | 2015-06-03 18:34:15 | 9002 | 9031 | Tor 0.2.4.27 on Linux | SoftLayer Technologies Inc.                 | LoopyAfternoon      | 198.58.103.147        | E9D28D43AD3876695E10CF5E688FDA387C28DB11 |
| 2015-06-03 20:00:00 | 2015-06-03 18:36:26 | 9006 | 9035 | Tor 0.2.4.27 on Linux | SoftLayer Technologies Inc.                 | PathogenSidekick    | 198.58.107.52         | 4347458FC1A5B75C01BA2119D20CB3DD2B51B91C |
| 2015-06-03 19:00:00 | 2015-06-03 18:36:26 | 9009 | 9038 | Tor 0.2.4.27 on Linux | SoftLayer Technologies Inc.                 | HerdOfOffense       | 104.237.129.142       | 242563B853E1308D50046CCCB227B10E192002B3 |
| 2015-06-03 20:00:00 | 2015-06-03 18:36:26 | 9002 | 9031 | Tor 0.2.4.27 on Linux | SoftLayer Technologies Inc.                 | UncommonAngel       | 50.116.29.54          | 440B080DB3B46E8B223C2CDEC8D0C25FE1A02225 |
| 2015-06-03 19:00:00 | 2015-06-03 18:36:26 | 9007 | 9036 | Tor 0.2.4.27 on Linux | SoftLayer Technologies Inc.                 | LavenderSouth       | 104.200.16.86         | 11DDCC89DA6D1B6BCF7D07E98A45B86EC2A60993 |
| 2015-06-03 19:00:00 | 2015-06-03 18:36:26 | 9008 | 9037 | Tor 0.2.4.27 on Linux | SoftLayer Technologies Inc.                 | FuzzyPharoah        | 104.200.16.86         | 362B6F0A0C22A6FDE4222FE73E9C3CE8F8E1B10B |
| 2015-06-03 19:00:00 | 2015-06-03 18:36:26 | 9005 | 9034 | Tor 0.2.4.27 on Linux | SoftLayer Technologies Inc.                 | GapingIntrusion     | 198.58.107.52         | 2DBC855E054C852E6CD6CF69C94BD2FF07A639E5 |
| 2015-06-03 19:00:00 | 2015-06-03 18:36:27 | 9003 | 9032 | Tor 0.2.4.27 on Linux | SoftLayer Technologies Inc.                 | OnionOfIncision     | 198.58.106.245        | D377EF2D27BFD9F779B23A9CF90C44223AAA8A54 |
| 2015-06-03 19:00:00 | 2015-06-03 18:36:27 | 9004 | 9033 | Tor 0.2.4.27 on Linux | SoftLayer Technologies Inc.                 | HackerOfPhysics     | 198.58.106.245        | 842B9A2C9344B6669B386D2E98F7ED8000A14A68 |
| 2015-06-03 19:00:00 | 2015-06-03 18:36:27 | 9001 | 9030 | Tor 0.2.4.27 on Linux | SoftLayer Technologies Inc.                 | ChromeAutopsy       | 50.116.29.54          | F141B9C3B13B10D5B11C26DFAABAB37EB3942806 |
| 2015-06-03 20:00:00 | 2015-06-03 18:35:13 | 9005 | 9034 | Tor 0.2.4.27 on Linux | TELECITYGROUP INTERNATIONAL LIMITED         | DazzleIntrospection | 178.79.144.28         | 103FA75B7081E0467E4C39803240BA450ECB3D86 |
| 2015-06-03 20:00:00 | 2015-06-03 18:35:13 | 9003 | 9032 | Tor 0.2.4.27 on Linux | TELECITYGROUP INTERNATIONAL LIMITED         | FrictionVerbose     | 178.79.134.183        | 1161B2B9519712B2792AFA35D7B43704FF5EAE0C |
| 2015-06-03 20:00:00 | 2015-06-03 18:35:13 | 9008 | 9037 | Tor 0.2.4.27 on Linux | TELECITYGROUP INTERNATIONAL LIMITED         | OutlawRelay         | 178.79.161.237        | 58EBA057EE300190FF2894D7ACF846F3F7C450DA |
| 2015-06-03 20:00:00 | 2015-06-03 18:35:13 | 9004 | 9033 | Tor 0.2.4.27 on Linux | TELECITYGROUP INTERNATIONAL LIMITED         | SearingFreeway      | 178.79.134.183        | 45415AD3E7AC45880B05CB59B6A32DE0E5CDC383 |
| 2015-06-03 20:00:00 | 2015-06-03 18:35:13 | 9001 | 9030 | Tor 0.2.4.27 on Linux | TELECITYGROUP INTERNATIONAL LIMITED         | FlyTheFlag          | 178.79.133.64         | CB14233710DA634DD1FFD04EB4A0FC97F5A4109C |
| 2015-06-03 20:00:00 | 2015-06-03 18:35:13 | 9009 | 9038 | Tor 0.2.4.27 on Linux | TELECITYGROUP INTERNATIONAL LIMITED         | GaussianVisual      | 212.71.249.69         | 29E5ACC1E05F98E8B8B8ABC7426E2D1B2F66E3D9 |
| 2015-06-03 20:00:00 | 2015-06-03 18:35:13 | 9007 | 9036 | Tor 0.2.4.27 on Linux | TELECITYGROUP INTERNATIONAL LIMITED         | TORExtravaganza     | 178.79.161.237        | A25B4C568630B671AD0EB6F7E5CAFE532745A3B9 |
| 2015-06-03 20:00:00 | 2015-06-03 18:35:13 | 9006 | 9035 | Tor 0.2.4.27 on Linux | TELECITYGROUP INTERNATIONAL LIMITED         | RelayOpus           | 178.79.144.28         | 654A80A7BD1D589C021CC70F68E84929D3FB8B03 |
| 2015-06-03 20:00:00 | 2015-06-03 18:35:13 | 9002 | 9031 | Tor 0.2.4.27 on Linux | TELECITYGROUP INTERNATIONAL LIMITED         | Tortuga             | 178.79.133.64         | B8715F304BB3F196E4BDD3E88503B62834D4C3B6 |
| 2015-06-03 19:00:00 | 2015-06-03 18:39:22 | 9006 | 9035 | Tor 0.2.4.27 on Linux | TELECITYGROUP INTERNATIONAL LIMITED         | DelicateJacket      | 178.79.170.181        | 45544D0C400F3A6B916767A02D140A12CD908EA1 |
| 2015-06-03 20:00:00 | 2015-06-03 18:39:22 | 9004 | 9033 | Tor 0.2.4.27 on Linux | TELECITYGROUP INTERNATIONAL LIMITED         | RoundAlgae          | 178.79.157.36         | C88B77C971D598E8B2A8827F95EB4BCA319775F1 |
| 2015-06-03 19:00:00 | 2015-06-03 18:39:22 | 9009 | 9038 | Tor 0.2.4.27 on Linux | TELECITYGROUP INTERNATIONAL LIMITED         | BionicNavel         | 80.85.84.240          | E991B4E4F5D0B7EF81FFD27DF8182885D865D35E |
| 2015-06-03 19:00:00 | 2015-06-03 18:39:22 | 9005 | 9034 | Tor 0.2.4.27 on Linux | TELECITYGROUP INTERNATIONAL LIMITED         | GogglesSausage      | 178.79.170.181        | 349449C996207BD96AAC4C86A98F6CC28FB2D147 |
| 2015-06-03 20:00:00 | 2015-06-03 18:39:22 | 9001 | 9030 | Tor 0.2.4.27 on Linux | TELECITYGROUP INTERNATIONAL LIMITED         | AnarchyFlashing     | 178.79.142.224        | 7BF796253797ED57BF20B5477B0442063EB48056 |
| 2015-06-03 20:00:00 | 2015-06-03 18:39:23 | 9003 | 9032 | Tor 0.2.4.27 on Linux | TELECITYGROUP INTERNATIONAL LIMITED         | ForumAnimator       | 178.79.157.36         | 83DA2001D79E60829C5AD8920F61CC6AB51720C2 |
| 2015-06-03 19:00:00 | 2015-06-03 18:39:23 | 9008 | 9037 | Tor 0.2.4.27 on Linux | TELECITYGROUP INTERNATIONAL LIMITED         | WantedLube          | 151.236.222.27        | 38E9356E733F07359E7DAF1D6FDF9AD7C7E195CD |
| 2015-06-03 20:00:00 | 2015-06-03 18:39:23 | 9007 | 9036 | Tor 0.2.4.27 on Linux | TELECITYGROUP INTERNATIONAL LIMITED         | GroupIsland         | 151.236.222.27        | B369446495C65EFF0229ECB7AC49334C51DF2942 |
| 2015-06-03 20:00:00 | 2015-06-03 18:39:23 | 9002 | 9031 | Tor 0.2.4.27 on Linux | TELECITYGROUP INTERNATIONAL LIMITED         | SalineGodfather     | 178.79.142.224        | 565BF1F3E0975046F5F8C48837DD4563BBDFFD26 |
+---------------------+---------------------+------+------+-----------------------+---------------------------------------------+---------------------+-----------------------+------------------------------------------+
