(onionoo data from 2015-05-19 23:00:00)

+---------------------+------+------+-------------------------------------+-----------------------+-----------------+---------------------+------------------------------------------+
| first_seen          | orp  | dirp | as_name                             | platform              | IP              | nickname            | fingerprint                              |
| 2014-11-21 04:00:00 | 9007 | 9036 | Global Net Access, LLC              | Tor 0.2.4.24 on Linux | 50.116.32.217   | RelayOfTheMagic     | 5D1F329E76EE7FDD16C395172D1287F0A1556601 |
| 2014-11-21 04:00:00 | 9009 | 9038 | Global Net Access, LLC              | Tor 0.2.4.24 on Linux | 50.116.47.171   | RelayUprising       | 6E3A4F089F1F67AF9F8C85069960008261A29023 |
| 2014-11-21 04:00:00 | 9010 | 9039 | Global Net Access, LLC              | Tor 0.2.4.24 on Linux | 50.116.47.171   | PrimoRelay          | 4CE31381264D4B1EF4CE4B6ED9619A8C79CFE17A |
| 2014-12-22 23:00:00 | 9001 | 9030 | Global Net Access, LLC              | Tor 0.2.4.24 on Linux | 74.207.224.63   | LocustModest        | A7CC2D8D46C10F99C6A3A447C74BD729F81C40AF |
| 2014-12-22 23:00:00 | 9001 | 9030 | Net Access Corporation              | Tor 0.2.4.24 on Linux | 173.255.237.107 | GangsterPlatoon     | 52C46DD883D3F07E87DC840EB59F8C9136519387 |
| 2014-12-22 23:00:00 | 9002 | 9031 | SoftLayer Technologies Inc.         | Tor 0.2.4.24 on Linux | 50.116.29.54    | UncommonAngel       | 26633AF1E98600DB00E2007E0A8BC355EBEBFFA1 |
| 2014-12-22 23:00:00 | 9002 | 9031 | Net Access Corporation              | Tor 0.2.4.24 on Linux | 173.255.237.107 | FryIssue            | 8ABCA5303220FFE72016F78046285592AB0A27B2 |
| 2014-12-22 23:00:00 | 9002 | 9031 | Global Net Access, LLC              | Tor 0.2.4.24 on Linux | 74.207.224.63   | AllergyOfUniverse   | AA725707DD81280305B50918976E78F9BD9FB654 |
| 2014-12-22 23:00:00 | 9003 | 9032 | SoftLayer Technologies Inc.         | Tor 0.2.4.24 on Linux | 198.58.106.245  | OnionOfIncision     | 3F6A7F2209A4F39E90FE53F6E1F283A30B0200D1 |
| 2014-12-22 23:00:00 | 9003 | 9032 | Global Net Access, LLC              | Tor 0.2.4.24 on Linux | 173.230.131.207 | CapitalDensity      | CBFC4551A64E6FD8F992D8D6CAB1E652E8A294AF |
| 2014-12-22 23:00:00 | 9003 | 9032 | Net Access Corporation              | Tor 0.2.4.24 on Linux | 66.228.33.248   | MoodySphincter      | 2A15685CECD82F73B49FD8AAF6A10F93F41D35B6 |
| 2014-12-22 23:00:00 | 9004 | 9033 | Net Access Corporation              | Tor 0.2.4.24 on Linux | 66.228.33.248   | EquilibriumComplete | 1D5039882719F7FCCF11822073304D8AECD899FF |
