+------------+-----------------+-----+------+----------+----------+------+--------------------------------------+---------+
| joined     | IP              | orp | dirp | torv     | nickname | cc   | asn                                  | running |
| 2015-07-18 | 37.79.69.44     | 443 | 9030 | 0.2.4.23 | default  | ru   | OJSC Rostelecom                      |       1 |
| 2015-07-17 | 68.44.141.35    | 443 | 9030 | 0.2.4.23 | default  | us   | Comcast Cable Communications, Inc.   |       0 |
| 2015-07-17 | 77.144.87.13    | 443 | 9030 | 0.2.4.23 | default  | fr   | Societe Francaise du Radiotelephone  |       0 |
| 2015-07-17 | 91.124.5.30     | 443 | 9030 | 0.2.4.23 | default  | ua   | JSC UKRTELECOM                       |       0 |
| 2015-07-16 | 24.242.111.173  | 443 | 9030 | 0.2.4.23 | default  | us   | Time Warner Cable Internet LLC       |       0 |
| 2015-07-16 | 2.218.119.91    | 443 | 9030 | 0.2.4.23 | default  | gb   | Sky UK Limited                       |       0 |
| 2015-07-14 | 105.107.49.66   | 443 | 9030 | 0.2.4.23 | default  | dz   | ALGTEL-AS                            |       0 |
| 2015-07-14 | 178.191.177.193 | 443 | 9030 | 0.2.4.23 | default  | at   | A1 Telekom Austria AG                |       0 |
| 2015-07-14 | 90.146.76.218   | 443 | 9030 | 0.2.4.23 | default  | at   | LIWEST Kabelfernsehen Errichtungs-   |       0 |
| 2015-07-13 | 178.200.121.43  | 443 | 9030 | 0.2.4.23 | default  | de   | Liberty Global Operations B.V.       |       0 |
| 2015-07-13 | 87.170.38.13    | 443 | 9030 | 0.2.4.23 | default  | de   | Deutsche Telekom AG                  |       0 |
| 2015-07-13 | 121.109.81.131  | 443 | 9030 | 0.2.4.23 | default  | jp   | KDDI CORPORATION                     |       0 |
| 2015-07-12 | 115.242.210.178 | 443 | 9030 | 0.2.4.23 | default  | in   | BSES TeleCom Limited                 |       0 |
| 2015-07-11 | 188.22.32.211   | 443 | 9030 | 0.2.4.23 | default  | at   | A1 Telekom Austria AG                |       0 |
| 2015-07-11 | 178.201.140.227 | 443 | 9030 | 0.2.4.23 | default  | de   | Liberty Global Operations B.V.       |       0 |
| 2015-07-11 | 186.94.157.13   | 443 | 9030 | 0.2.4.23 | default  | ve   | Servicios, Venezuela                 |       0 |
| 2015-07-10 | 88.153.179.54   | 443 | 9030 | 0.2.4.23 | default  | de   | Liberty Global Operations B.V.       |       0 |
| 2015-07-09 | 88.238.184.217  | 443 | 9030 | 0.2.4.23 | default  | tr   | Turk Telekomunikasyon Anonim Sirket  |       0 |
| 2015-07-07 | 67.213.248.209  | 443 | 9030 | 0.2.4.23 | default  | us   | UBTANET                              |       0 |
| 2015-07-06 | 79.225.16.145   | 443 | 9030 | 0.2.4.23 | default  | de   | Deutsche Telekom AG                  |       0 |
| 2015-07-06 | 95.218.253.233  | 443 | 9030 | 0.2.4.23 | default  | sa   | Saudi Telecom Company JSC            |       1 |
| 2015-07-06 | 122.173.114.120 | 443 | 9030 | 0.2.4.23 | default  | in   | Bharti Airtel Ltd., Telemedia Servi  |       0 |
| 2015-07-05 | 83.78.97.26     | 443 | 9030 | 0.2.4.23 | default  | ch   | Swisscom (Switzerland) Ltd           |       0 |
| 2015-07-05 | 92.95.66.116    | 443 | 9030 | 0.2.4.23 | default  | fr   | Societe Francaise du Radiotelephone  |       0 |
| 2015-07-01 | 37.54.29.191    | 443 | 9030 | 0.2.4.23 | default  | ua   | JSC UKRTELECOM                       |       0 |
| 2015-07-01 | 114.27.73.155   | 443 | 9030 | 0.2.4.23 | default  | tw   | Data Communication Business Group    |       1 |
| 2015-07-01 | 83.77.171.69    | 443 | 9030 | 0.2.4.23 | default  | ch   | Swisscom (Switzerland) Ltd           |       0 |
| 2015-06-29 | 89.129.57.167   | 443 | 9030 | 0.2.4.23 | default  | es   | France Telecom Espana SA             |       1 |
| 2015-06-29 | 87.144.32.48    | 443 | 9030 | 0.2.4.23 | default  | de   | Deutsche Telekom AG                  |       0 |
| 2015-06-28 | 113.144.36.63   | 443 | 9030 | 0.2.4.23 | default  | jp   | KDDI CORPORATION                     |       0 |
| 2015-06-26 | 93.128.242.14   | 443 | 9030 | 0.2.4.23 | default  | de   | Telefonica Germany GmbH & Co.OHG     |       1 |
| 2015-06-25 | 78.54.126.236   | 443 | 9030 | 0.2.4.23 | default  | de   | Telefonica Germany GmbH & Co.OHG     |       0 |
| 2015-06-24 | 37.120.74.168   | 443 | 9030 | 0.2.4.23 | default  | de   | Tele Columbus AG                     |       0 |
| 2015-06-24 | 118.37.5.25     | 443 | 9030 | 0.2.4.23 | default  | kr   | Korea Telecom                        |       0 |
| 2015-06-23 | 78.55.72.174    | 443 | 9030 | 0.2.4.23 | default  | de   | Telefonica Germany GmbH & Co.OHG     |       0 |
| 2015-06-23 | 46.5.113.113    | 443 | 9030 | 0.2.4.23 | default  | de   | Kabel BW GmbH                        |       0 |
| 2015-06-23 | 66.214.15.139   | 443 | 9030 | 0.2.4.23 | default  | us   | Charter Communications               |       1 |
| 2015-06-23 | 49.242.209.124  | 443 | 9030 | 0.2.4.23 | default  | jp   | FreeBit Co.,Ltd.                     |       0 |
| 2015-06-22 | 178.202.83.94   | 443 | 9030 | 0.2.4.23 | default  | de   | Liberty Global Operations B.V.       |       0 |
| 2015-06-21 | 96.235.142.73   | 443 | 9030 | 0.2.4.23 | default  | us   | MCI Communications Services, Inc. d  |       0 |
| 2015-06-21 | 114.17.212.47   | 443 | 9030 | 0.2.4.23 | default  | jp   | KDDI CORPORATION                     |       1 |
| 2015-06-20 | 88.244.82.30    | 443 | 9030 | 0.2.4.23 | default  | tr   | Turk Telekomunikasyon Anonim Sirket  |       0 |
| 2015-06-17 | 153.232.204.176 | 443 | 9030 | 0.2.4.23 | default  | jp   | NTT Communications Corporation       |       0 |
| 2015-06-17 | 31.214.133.30   | 443 | 9030 | 0.2.4.23 | default  | de   | Marcel Edler trading as Optimate-Se  |       0 |
| 2015-06-17 | 5.147.86.153    | 443 | 9030 | 0.2.4.23 | default  | de   | Liberty Global Operations B.V.       |       0 |
| 2015-06-17 | 109.230.251.238 | 443 | 9030 | 0.2.4.23 | default  | de   | Marcel Edler trading as Optimate-Se  |       1 |
| 2015-06-13 | 93.124.26.247   | 443 | 9030 | 0.2.4.23 | default  | ru   | OJSC Rostelecom                      |       0 |
| 2015-06-12 | 176.199.247.101 | 443 | 9030 | 0.2.4.23 | default  | de   | Liberty Global Operations B.V.       |       0 |
| 2015-06-12 | 217.253.209.182 | 443 | 9030 | 0.2.4.23 | default  | de   | Deutsche Telekom AG                  |       0 |
| 2015-06-11 | 84.221.222.177  | 443 | 9030 | 0.2.4.23 | default  | it   | Tiscali Italia S.P.A.                |       0 |
| 2015-06-10 | 74.90.183.85    | 443 | 9030 | 0.2.4.23 | default  | us   | Cablevision Systems Corp.            |       1 |
| 2015-06-09 | 85.176.45.103   | 443 | 9030 | 0.2.4.23 | default  | de   | Telefonica Germany GmbH & Co.OHG     |       1 |
| 2015-06-07 | 88.75.122.41    | 443 | 9030 | 0.2.4.23 | default  | de   | Vodafone GmbH                        |       0 |
| 2015-06-07 | 77.34.230.220   | 443 | 9030 | 0.2.4.23 | default  | ru   | OJSC Rostelecom                      |       0 |
| 2015-06-05 | 78.25.181.73    | 443 | 9030 | 0.2.4.23 | default  | ru   | CJSC Kolomna-Sviaz TV                |       0 |
| 2015-06-03 | 95.89.42.143    | 443 | 9030 | 0.2.4.23 | default  | de   | Kabel Deutschland Vertrieb und Serv  |       0 |
| 2015-06-02 | 77.20.152.108   | 443 | 9030 | 0.2.4.23 | default  | de   | Kabel Deutschland Vertrieb und Serv  |       0 |
| 2015-06-02 | 175.135.149.24  | 443 | 9030 | 0.2.4.23 | default  | jp   | KDDI CORPORATION                     |       1 |
| 2015-06-02 | 31.16.209.235   | 443 | 9030 | 0.2.4.23 | default  | de   | Kabel Deutschland Vertrieb und Serv  |       0 |
| 2015-06-01 | 212.17.120.166  | 443 | 9030 | 0.2.4.23 | default  | at   | Liberty Global Operations B.V.       |       0 |
| 2015-05-29 | 87.154.84.117   | 443 | 9030 | 0.2.4.23 | default  | de   | Deutsche Telekom AG                  |       0 |
| 2015-05-28 | 5.0.239.163     | 443 | 9030 | 0.2.4.23 | default  | sy   | Syrian Telecom                       |       0 |
| 2015-05-27 | 66.94.201.110   | 443 | 9030 | 0.2.4.23 | default  | us   | ITV-3                                |       0 |
| 2015-05-27 | 153.166.46.217  | 443 | 9030 | 0.2.4.23 | default  | jp   | NTT Communications Corporation       |       0 |
| 2015-05-25 | 109.124.221.37  | 443 | 9030 | 0.2.4.23 | default  | ru   | LLC SIP NIS                          |       0 |
| 2015-05-24 | 24.148.232.16   | 443 | 9030 | 0.2.4.23 | default  | us   | Time Warner Cable Internet LLC       |       0 |
| 2015-05-24 | 111.89.69.220   | 443 | 9030 | 0.2.4.23 | default  | jp   | NTT PC Communications, Inc.          |       1 |
| 2015-05-24 | 86.56.217.85    | 443 | 9030 | 0.2.4.23 | default  | at   | LIWEST Kabelfernsehen Errichtungs-   |       0 |
| 2015-05-23 | 93.181.63.177   | 443 | 9030 | 0.2.4.23 | default  | de   | mr. net services GmbH & Co. KG       |       1 |
| 2015-05-22 | 5.228.181.129   | 443 | 9030 | 0.2.4.23 | default  | ru   | OJSC Rostelecom                      |       0 |
| 2015-05-20 | 122.164.254.51  | 443 | 9030 | 0.2.4.23 | default  | in   | Bharti Airtel Ltd., Telemedia Servi  |       0 |
| 2015-05-19 | 89.129.23.57    | 443 | 9030 | 0.2.4.23 | default  | es   | France Telecom Espana SA             |       0 |
| 2015-05-17 | 2.216.47.125    | 443 | 9030 | 0.2.4.23 | default  | gb   | Sky UK Limited                       |       0 |
| 2015-05-14 | 84.152.85.140   | 443 | 9030 | 0.2.4.23 | default  | de   | Deutsche Telekom AG                  |       0 |
| 2015-05-13 | 158.181.93.246  | 443 | 9030 | 0.2.4.23 | default  | de   | Tele Columbus AG                     |       0 |
| 2015-05-11 | 91.10.221.195   | 443 | 9030 | 0.2.4.23 | default  | de   | Deutsche Telekom AG                  |       0 |
| 2015-05-10 | 45.37.59.70     | 443 | 9030 | 0.2.4.23 | default  | us   | Time Warner Cable Internet LLC       |       1 |
| 2015-05-09 | 90.71.56.112    | 443 | 9030 | 0.2.4.23 | default  | es   | France Telecom Espana SA             |       0 |
| 2015-05-08 | 178.203.163.176 | 443 | 9030 | 0.2.4.23 | default  | de   | Liberty Global Operations B.V.       |       0 |
| 2015-05-07 | 85.199.77.17    | 443 | 9030 | 0.2.4.23 | default  | de   | e.discom Telekommunikation GmbH      |       0 |
| 2015-05-06 | 78.230.125.4    | 443 | 9030 | 0.2.4.23 | default  | fr   | Free SAS                             |       0 |
| 2015-05-06 | 85.199.87.74    | 443 | 9030 | 0.2.4.23 | default  | de   | e.discom Telekommunikation GmbH      |       0 |
| 2015-05-05 | 89.245.66.255   | 443 | 9030 | 0.2.4.23 | default  | de   | Versatel Deutschland GmbH            |       0 |
| 2015-05-03 | 176.250.186.171 | 443 | 9030 | 0.2.4.23 | default  | gb   | Sky UK Limited                       |       0 |
| 2015-05-01 | 79.126.11.4     | 443 | 9030 | 0.2.4.23 | default  | ru   | OJSC Rostelecom                      |       0 |
| 2015-05-01 | 217.227.143.208 | 443 | 9030 | 0.2.4.23 | default  | de   | Deutsche Telekom AG                  |       0 |
| 2015-05-01 | 189.195.238.241 | 443 | 9030 | 0.2.4.23 | default  | mx   | Y EQUIPO EN TELEFONÍA INTERNET Y TV  |       0 |
| 2015-04-30 | 5.28.124.227    | 443 | 9030 | 0.2.4.23 | default  | de   | Tele Columbus AG                     |       0 |
| 2015-04-30 | 172.254.23.228  | 443 | 9030 | 0.2.4.23 | default  | us   | Time Warner Cable Internet LLC       |       1 |
| 2015-04-30 | 91.128.202.114  | 443 | 9030 | 0.2.4.23 | default  | at   | TELE2                                |       0 |
| 2015-04-28 | 77.30.60.208    | 443 | 9030 | 0.2.4.23 | default  | sa   | Saudi Telecom Company JSC            |       0 |
| 2015-04-25 | 37.120.90.108   | 443 | 9030 | 0.2.4.23 | default  | de   | Tele Columbus AG                     |       0 |
| 2015-04-23 | 89.16.133.171   | 443 | 9030 | 0.2.4.23 | default  | de   | Tele Columbus AG                     |       0 |
| 2015-04-23 | 180.58.207.11   | 443 | 9030 | 0.2.4.23 | default  | jp   | NTT Communications Corporation       |       0 |
| 2015-04-20 | 86.32.124.80    | 443 | 9030 | 0.2.4.23 | default  | at   | TELE2                                |       0 |
| 2015-04-20 | 87.152.110.194  | 443 | 9030 | 0.2.4.23 | default  | de   | Deutsche Telekom AG                  |       0 |
| 2015-04-14 | 41.58.131.228   | 443 | 9030 | 0.2.4.23 | default  | ng   | SWIFTNG-ASN                          |       0 |
| 2015-04-12 | 92.201.32.111   | 443 | 9030 | 0.2.4.23 | default  | de   | QSC AG                               |       1 |
| 2015-04-10 | 95.79.129.251   | 443 | 9030 | 0.2.4.23 | default  | ru   | CJSC ER-Telecom Holding              |       0 |
| 2015-04-10 | 149.126.15.31   | 443 | 9030 | 0.2.4.23 | default  | es   | Cableuropa - ONO                     |       0 |
| 2015-04-09 | 153.230.61.171  | 443 | 9030 | 0.2.4.23 | default  | jp   | NTT Communications Corporation       |       1 |
| 2015-04-09 | 173.51.84.222   | 443 | 9030 | 0.2.4.23 | default  | us   | MCI Communications Services, Inc. d  |       0 |
| 2015-04-07 | 212.3.145.66    | 443 | 9030 | 0.2.4.23 | default  | ru   | OJSC Rostelecom                      |       1 |
| 2015-04-07 | 203.87.14.14    | 443 | 9030 | 0.2.4.23 | default  | au   | TPG Telecom Limited                  |       0 |
| 2015-04-07 | 79.140.21.20    | 443 | 9030 | 0.2.4.23 | default  | ru   | OJSC Ufanet                          |       0 |
| 2015-04-03 | 93.175.125.170  | 443 | 9030 | 0.2.4.23 | default  | pl   | Telekomunikacja Internetowa Sp. z o  |       1 |
| 2015-04-03 | 37.4.189.179    | 443 | 9030 | 0.2.4.23 | default  | de   | Kabel Deutschland Vertrieb und Serv  |       0 |
| 2015-04-03 | 73.195.196.47   | 443 | 9030 | 0.2.4.23 | default  | us   | Comcast Cable Communications, Inc.   |       0 |
| 2015-04-02 | 5.61.179.99     | 443 | 9030 | 0.2.4.23 | default  | de   | TELE AG                              |       0 |
| 2015-03-31 | 87.166.24.170   | 443 | 9030 | 0.2.4.23 | default  | de   | Deutsche Telekom AG                  |       1 |
| 2015-03-29 | 88.77.148.161   | 443 | 9030 | 0.2.4.23 | default  | de   | Vodafone GmbH                        |       0 |
| 2015-03-28 | 80.121.12.186   | 443 | 9030 | 0.2.4.23 | default  | at   | A1 Telekom Austria AG                |       0 |
| 2015-03-28 | 5.28.73.226     | 443 | 9030 | 0.2.4.23 | default  | de   | Tele Columbus AG                     |       0 |
| 2015-03-27 | 31.32.84.72     | 443 | 9030 | 0.2.4.23 | default  | fr   | Bouygues Telecom SA                  |       0 |
| 2015-03-27 | 95.90.82.199    | 443 | 9030 | 0.2.4.23 | default  | de   | Kabel Deutschland Vertrieb und Serv  |       0 |
| 2015-03-27 | 68.111.186.160  | 443 | 9030 | 0.2.4.23 | default  | us   | Cox Communications Inc.              |       0 |
| 2015-03-25 | 87.88.223.76    | 443 | 9030 | 0.2.4.23 | default  | fr   | Bouygues Telecom SA                  |       1 |
| 2015-03-24 | 37.5.166.123    | 443 | 9030 | 0.2.4.23 | default  | de   | Kabel Deutschland Vertrieb und Serv  |       0 |
