+------------+---------------+
| first_seen | bridged added |
| 2016-09-29 |             3 |
| 2016-10-01 |             3 |
| 2016-10-02 |             1 |
| 2016-10-03 |             4 |
| 2016-10-04 |             1 |
| 2016-10-06 |             2 |
| 2016-10-07 |             1 |
| 2016-10-09 |             1 |
| 2016-10-10 |             2 |
| 2016-10-11 |             2 |
| 2016-10-12 |             2 |
| 2016-10-13 |             4 |
| 2016-10-14 |             1 |
| 2016-10-15 |             2 |
| 2016-10-16 |             1 |
| 2016-10-17 |             2 |
| 2016-10-18 |             5 |
| 2016-10-19 |             3 |
| 2016-10-20 |             1 |
| 2016-10-21 |             5 |
| 2016-10-23 |             3 |
| 2016-10-24 |             1 |
| 2016-10-25 |             1 |
| 2016-10-26 |             3 |
| 2016-10-27 |             5 |
| 2016-10-28 |             5 |
| 2016-10-29 |             8 |
| 2016-10-30 |             3 |
| 2016-10-31 |             4 |
| 2016-11-01 |             1 |
| 2016-11-02 |             4 |
| 2016-11-03 |             2 |
| 2016-11-05 |             3 |
| 2016-11-06 |             2 |
| 2016-11-07 |             2 |
| 2016-11-08 |             3 |
| 2016-11-09 |             3 |
| 2016-11-10 |             1 |
| 2016-11-11 |             2 |
| 2016-11-12 |             1 |
| 2016-11-13 |             1 |
| 2016-11-15 |             4 |
| 2016-11-16 |             1 |
| 2016-11-17 |             1 |
| 2016-11-18 |             3 |
| 2016-11-19 |             2 |
| 2016-11-20 |             3 |
| 2016-11-21 |             2 |
| 2016-11-22 |             2 |
| 2016-11-23 |             5 |
| 2016-11-24 |             9 |
| 2016-11-25 |             7 |
| 2016-11-26 |             5 |
| 2016-11-27 |             5 |
| 2016-11-28 |             9 |
| 2016-11-29 |             5 |
| 2016-11-30 |             4 |
| 2016-12-01 |             2 |
| 2016-12-02 |             8 |
| 2016-12-03 |             8 |
| 2016-12-04 |            10 |
| 2016-12-05 |             5 |
| 2016-12-06 |             7 |
| 2016-12-07 |             6 |
| 2016-12-08 |             4 |
| 2016-12-09 |             5 |
| 2016-12-10 |             2 |
| 2016-12-11 |             5 |
| 2016-12-12 |            13 |
| 2016-12-13 |             4 |
| 2016-12-14 |             6 |
| 2016-12-15 |             7 |
| 2016-12-16 |             9 |
| 2016-12-17 |             3 |
| 2016-12-18 |             9 |
| 2016-12-19 |             2 |
| 2016-12-20 |             6 |
| 2016-12-21 |            18 |
| 2016-12-22 |             7 |
| 2016-12-23 |            11 |
| 2016-12-24 |             8 |
| 2016-12-25 |             4 |
| 2016-12-26 |             4 |
| 2016-12-27 |             6 |
| 2016-12-28 |            10 |
| 2016-12-29 |            10 |
| 2016-12-30 |             6 |
| 2016-12-31 |             6 |
| 2017-01-01 |             7 |
| 2017-01-02 |             5 |
| 2017-01-03 |            19 |
| 2017-01-04 |             8 |
| 2017-01-05 |            26 |
| 2017-01-06 |             7 |
| 2017-01-07 |             4 |
| 2017-01-08 |             7 |
| 2017-01-09 |            14 |
| 2017-01-10 |             7 |
| 2017-01-11 |             9 |
| 2017-01-12 |             6 |
| 2017-01-13 |            10 |
| 2017-01-14 |             9 |
| 2017-01-15 |             5 |
| 2017-01-16 |             7 |
| 2017-01-17 |             6 |
| 2017-01-18 |             4 |
| 2017-01-19 |             4 |
| 2017-01-20 |             8 |
| 2017-01-21 |            10 |
| 2017-01-22 |             9 |
| 2017-01-23 |            10 |
| 2017-01-24 |            10 |
| 2017-01-25 |             3 |
| 2017-01-26 |             5 |
| 2017-01-27 |            16 |
| 2017-01-28 |             7 |
| 2017-01-29 |             9 |
| 2017-01-30 |             8 |
| 2017-01-31 |            10 |
| 2017-02-01 |             8 |
| 2017-02-02 |             6 |
| 2017-02-03 |            11 |
| 2017-02-04 |            19 |
| 2017-02-05 |             6 |
| 2017-02-06 |             9 |
| 2017-02-07 |            14 |
| 2017-02-08 |            10 |
| 2017-02-09 |             7 |
| 2017-02-10 |             4 |
| 2017-02-11 |             4 |
| 2017-02-12 |             8 |
| 2017-02-13 |             5 |
| 2017-02-14 |             1 |
| 2017-02-15 |             4 |
| 2017-02-16 |            10 |
| 2017-02-17 |            15 |
| 2017-02-18 |             4 |
| 2017-02-19 |            12 |
| 2017-02-20 |             9 |
| 2017-02-21 |             8 |
| 2017-02-22 |             4 |
| 2017-02-23 |             9 |
| 2017-02-24 |            13 |
| 2017-02-25 |             9 |
| 2017-02-26 |             9 |
| 2017-02-27 |            12 |
| 2017-02-28 |            10 |
| 2017-03-01 |            12 |
| 2017-03-02 |            14 |
| 2017-03-03 |             8 |
| 2017-03-04 |             7 |
| 2017-03-05 |            10 |
| 2017-03-06 |            15 |
| 2017-03-07 |            10 |
| 2017-03-08 |            15 |
| 2017-03-09 |            12 |
| 2017-03-10 |            13 |
| 2017-03-11 |             8 |
| 2017-03-12 |            15 |
| 2017-03-13 |             5 |
| 2017-03-14 |             9 |
| 2017-03-15 |            15 |
| 2017-03-16 |            14 |
| 2017-03-17 |            14 |
| 2017-03-18 |            12 |
| 2017-03-19 |            20 |
| 2017-03-20 |            11 |
| 2017-03-21 |            15 |
| 2017-03-22 |            13 |
| 2017-03-23 |            18 |
| 2017-03-24 |            29 |
| 2017-03-25 |            33 |
| 2017-03-26 |            52 |
| 2017-03-27 |            21 |
+------------+---------------+
